DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-01,109,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-02,107.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-03,108.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-04,109.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-05,108.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-06,107.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-07,109.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-08,107.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-09,107.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-10,108,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-11,109.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2021-12,113.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2022-01,111.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2022-02,111.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2022-03,111.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2022-04,110.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2022-05,113.7,
